Player,Team,Pos,FPPG,FPPM,G,MPG,PPG,RPG,APG,BPG,SPG,OWN,ADP,CON,Poss/G,FPPP,Age
G. Antetokounmpo, MIL, F ,37.1,1.22,63,30.4,29.5,13.6,5.6,1,1,98.7,2,$27.5M,66.7,0.56,25
J. Harden, HOU, GF ,36.1,0.99,68,36.5,34.3,6.6,7.5,0.9,1.8,99.3,5.2,$41.3M,78.8,0.46,30.3
L. Doncic, DAL, G ,33.8,1.01,61,33.6,28.8,9.4,8.8,0.2,1,99.3,2.5,$8.0M,69.6,0.49,20.8
K. Towns, MIN, C ,33.3,0.98,35,33.9,26.5,10.8,4.4,1.2,0.9,98,8.8,$29.5M,72.5,0.46,24.1
A. Davis, LAL, FC ,32.3,0.94,62,34.4,26.1,9.3,3.2,2.3,1.5,98.7,4.7,$32.7M,72.1,0.45,26.8
L. James, LAL, G ,32.2,0.93,67,34.6,25.3,7.8,10.2,0.5,1.2,98.7,5.6,$39.2M,72.7,0.44,35
D. Lillard, POR, G ,31.8,0.85,66,37.5,30,4.3,8,0.3,1.1,99.3,9.4,$31.6M,78.8,0.4,29.4
K. Leonard, LAC, GF ,30.1,0.93,57,32.4,27.1,7.1,4.9,0.6,1.8,98.7,11.3,$34.4M,68.2,0.44,28.5
K. Irving, BKL, G ,29.8,0.9,20,32.9,27.4,5.2,6.4,0.5,1.4,96,21.3,$33.5M,71.2,0.42,27.7
N. Jokic, DEN, C ,29.8,0.93,73,32,19.9,9.7,7,0.6,1.2,98,9.8,$29.5M,64.8,0.46,24.8
T. Young, ATL, G ,29.7,0.84,60,35.3,29.6,4.3,9.3,0.1,1.1,99.3,11,$6.6M,76.2,0.39,21.3
R. Westbrook, HOU, G ,29.2,0.81,57,36,27.2,7.9,7,0.4,1.6,98,13.8,$41.4M,77.9,0.38,31.1
J. Embiid, PHI, C ,29.2,0.99,51,29.5,23,11.6,3,1.3,0.9,98.7,12.3,$29.5M,61.2,0.48,25.8
A. Drummond, DET, C ,29.1,0.88,57,33,17.7,15.2,2.7,1.6,1.9,97.3,22.8,$28.8M,67.5,0.43,26.4
J. Collins, ATL, FC ,28.9,0.87,41,33.2,21.6,10.1,1.5,1.6,0.8,96.7,26.9,$4.1M,71.2,0.41,22.2
D. Sabonis, IND, FC ,28.8,0.83,62,34.8,18.5,12.4,5,0.5,0.8,98.7,19.8,$19.8M,71.5,0.4,23.6
B. Beal, WAS, G ,28.6,0.79,57,36,30.5,4.2,6.1,0.4,1.2,98,23.3,$28.8M,77.3,0.37,26.5
H. Whiteside, POR, C ,28.2,0.94,67,30,15.5,13.5,1.2,2.9,0.4,97.3,34.2,$0.0M,62.9,0.45,30.5
J. Nurkic, POR, C ,27.6,0.87,8,31.6,17.6,10.3,4,2,1.4,97.3,31.9,$14.1M,66.9,0.41,25.3
N. Vucevic, ORL, C ,27.5,0.85,62,32.2,19.6,10.9,3.6,0.8,0.9,95.3,25.4,$26.0M,66.2,0.41,29.2
R. Gobert, UTA, C ,27.3,0.8,68,34.3,15.1,13.5,1.5,2,0.8,98,34,$26.5M,70.5,0.39,27.5
D. Booker, PHO, G ,26.9,0.75,70,35.9,26.6,4.2,6.5,0.3,0.7,98,19.6,$29.5M,75.6,0.36,23.1
C. Capela, HOU, C ,26.7,0.81,39,32.8,13.9,13.8,1.2,1.8,0.8,96.7,44.3,$16.0M,70.9,0.38,25.6
D. Ayton, PHO, C ,26.4,0.81,38,32.5,18.2,11.5,1.9,1.5,0.7,97.3,29.6,$10.0M,68.2,0.39,21.4
J. Butler, MIA, F ,26.1,0.77,58,33.8,19.9,6.7,6,0.6,1.8,96,21.9,$34.4M,68.7,0.38,30.3
B. Simmons, PHI, G ,26,0.73,57,35.4,16.4,7.8,8,0.6,2.1,96.7,24.8,$30.6M,73.2,0.36,23.4
B. Adebayo, MIA, FC ,25.8,0.77,72,33.6,15.9,10.2,5.1,1.3,1.1,98.7,22.2,$5.1M,68.6,0.38,22.4
D. DeRozan, SAS, F ,25.5,0.75,68,34.1,22.1,5.5,5.6,0.3,1,95.3,37.8,$27.7M,71.5,0.36,30.4
K. Porzingis, DAL, FC ,25.1,0.79,57,31.8,20.4,9.5,1.8,2,0.7,96.7,33.1,$29.5M,66.6,0.38,24.4
J. Tatum, BOS, F ,24.9,0.73,66,34.3,23.4,7,3,0.9,1.4,98.7,19.3,$9.9M,71.1,0.35,21.8
B. Ingram, NOR, F ,24.7,0.73,62,33.9,23.8,6.1,4.2,0.6,1,97.3,36.9,$0.0M,73.5,0.34,22.3
P. Siakam, TOR, F ,24.6,0.7,60,35.2,22.9,7.3,3.5,0.9,1,96.7,33,$30.6M,74.3,0.33,25.7
J. Valanciunas, MEM, C ,24.2,0.92,70,26.4,14.9,11.3,1.9,1.1,0.4,97.3,42.2,$15.0M,56.5,0.43,27.6
K. Middleton, MIL, F ,24.1,0.81,62,29.9,20.9,6.2,4.3,0.1,0.9,95.3,37.9,$33.1M,65.7,0.37,28.4
K. Lowry, TOR, G ,24,0.66,58,36.2,19.4,5,7.5,0.4,1.4,93.3,53.7,$30.5M,75.9,0.32,33.7
S. Curry, GSW, G ,23.9,0.86,5,27.9,20.8,5.2,6.6,0.4,1,98.7,11.8,$43.0M,62.2,0.38,31.8
Z. LaVine, CHI, GF ,23.8,0.68,60,34.8,25.5,4.8,4.2,0.5,1.5,98,37.8,$19.5M,71.9,0.33,24.8
C. Paul, OKL, G ,23.6,0.75,70,31.5,17.6,5,6.7,0.2,1.6,91.3,40.9,$41.4M,64.7,0.36,34.6
L. Aldridge, SAS, C ,23.5,0.71,53,33.1,18.9,7.4,2.4,1.6,0.7,94.7,55.2,$24.0M,69.2,0.34,34.4
K. Love, CLE, F ,23.3,0.73,56,31.8,17.6,9.8,3.2,0.3,0.6,93.3,54.3,$31.3M,65.3,0.36,31.3
P. George, LAC, F ,23,0.78,48,29.6,21.5,5.7,3.9,0.4,1.4,97.3,32,$35.5M,62.5,0.37,29.6
J. Randle, NYK, F ,22.9,0.7,64,32.5,19.5,9.7,3.1,0.3,0.8,97.3,48.4,$18.9M,66.9,0.34,25.1
J. Holiday, NOR, GF ,22.6,0.65,61,34.7,19.1,4.8,6.7,0.8,1.6,95.3,48.5,$26.2M,74.9,0.3,29.5
D. Russell, GSW, G ,22.6,0.7,45,32.3,23.1,3.9,6.3,0.3,1.1,95.3,43.4,$28.6M,69.3,0.33,23.8
D. Mitchell, UTA, G ,22.6,0.66,69,34.3,24,4.4,4.3,0.2,1,98,33,$5.2M,70.6,0.32,23.3
T. Harris, PHI, F ,22.5,0.66,72,34.3,19.6,6.9,3.2,0.6,0.7,90,56.3,$34.4M,70.9,0.32,27.4
D. Fox, SAC, G ,22.4,0.7,51,32,21.1,3.8,6.8,0.5,1.5,97.3,36.6,$8.1M,66.9,0.33,22
Z. Williamson, NOR, F ,22.3,0.8,24,27.8,22.5,6.3,2.1,0.4,0.7,99.3,20.2,$10.2M,61.3,0.36,19.5
G. Hayward, BOS, F ,22.2,0.66,52,33.5,17.5,6.7,4.1,0.4,0.7,90.7,50.7,$28.5M,70,0.32,29.8
C. McCollum, POR, G ,21.9,0.6,70,36.5,22.2,4.2,4.4,0.6,0.8,91.3,60,$29.4M,77,0.28,28.3
M. Harrell, LAC, C ,21.7,0.78,63,27.8,18.6,7.1,1.7,1.1,0.6,98,48.2,$9.3M,59.2,0.37,25.9
S. Gilgeous-Alexander, OKL, G ,21.3,0.62,70,34.7,19,5.9,3.3,0.7,1.1,97.3,42.9,$4.1M,71.2,0.3,21.4
K. Walker, BOS, G ,21.1,0.68,56,31.1,20.4,3.9,4.8,0.5,0.9,91.3,69.6,$34.4M,64.5,0.33,29.6
A. Wiggins, MIN, F ,21.1,0.61,54,34.4,21.8,5.1,3.7,1,0.8,92,63.3,$29.5M,73,0.29,24.8
F. VanVleet, TOR, G ,21.1,0.59,54,35.7,17.6,3.8,6.6,0.3,1.9,91.3,64.6,$0.0M,74.8,0.28,25.8
J. Brown, BOS, GF ,21,0.62,57,33.9,20.3,6.4,2.1,0.4,1.1,94.7,54.8,$23.7M,70.1,0.3,23.2
M. Brogdon, IND, G ,20.7,0.67,54,30.9,16.5,4.9,7.1,0.2,0.6,94,57.2,$20.7M,63.6,0.33,27
S. Dinwiddie, BKL, G ,20.6,0.66,64,31.2,20.6,3.5,6.8,0.3,0.6,91.3,83,$11.5M,65.6,0.31,26.7
J. Allen, BKL, C ,20.4,0.77,70,26.5,11.1,9.6,1.6,1.3,0.6,95.3,68,$3.9M,56,0.36,21.7
R. Rubio, PHO, G ,20.3,0.66,65,31,13,4.7,8.8,0.2,1.4,92.7,71.8,$17.0M,65.6,0.31,29.2
K. Oubre Jr., PHO, F ,20.3,0.59,56,34.5,18.7,6.4,1.5,0.7,1.3,91.3,74.2,$14.4M,73,0.28,24
J. Morant, MEM, G ,20.3,0.65,67,31,17.8,3.9,7.3,0.3,0.9,96.7,34.6,$9.2M,66.4,0.31,20.4
T. Warren, IND, F ,20.2,0.61,67,32.9,19.8,4.2,1.5,0.5,1.2,92,73.1,$12.0M,67.8,0.3,26.3
R. Holmes, SAC, C ,20.2,0.71,44,28.2,12.3,8.1,1,1.3,0.9,82.7,99.3,$5.0M,57.6,0.35,26.2
J. Murray, DEN, G ,20.1,0.62,59,32.3,18.5,4,4.8,0.3,1.1,96.7,43.2,$27.3M,65.2,0.31,22.8
D. Graham, CHA, G ,19.9,0.57,63,35.1,18.2,3.4,7.5,0.2,1,92,81.6,$1.7M,69.9,0.28,24.8
T. Thompson, CLE, C ,19.8,0.65,57,30.2,12,10.1,2.1,0.9,0.6,88.7,85,$9.3M,62.1,0.32,28.8
S. Adams, OKL, C ,19.7,0.74,63,26.7,10.9,9.3,2.3,1.1,0.8,92,72,$27.5M,54.6,0.36,26.4
S. Ibaka, TOR, C ,19.6,0.73,55,27,15.4,8.2,1.4,0.8,0.5,97.3,64.2,$9.3M,56.6,0.35,30.3
W. Barton, DEN, GF ,19.5,0.59,58,33,15.1,6.3,3.7,0.5,1.1,85.3,98.9,$13.7M,67,0.29,29
A. Gordon, ORL, F ,19.5,0.6,62,32.5,14.4,7.7,3.7,0.6,0.8,90.7,73.3,$18.1M,66.9,0.29,24.3
T. Bryant, WAS, C ,19.5,0.78,46,24.9,13.2,7.2,1.8,1.1,0.5,96,72,$8.3M,53.8,0.36,22.4
D. Gallinari, OKL, F ,19.4,0.66,62,29.6,18.7,5.2,1.9,0.1,0.7,92,79,$19.5M,60.8,0.32,31.4
A. Horford, PHI, FC ,18.9,0.62,67,30.2,11.9,6.8,4,0.9,0.8,85.3,79.6,$27.5M,62.5,0.3,33.6
D. Favors, NOR, C ,18.8,0.77,51,24.4,9,9.8,1.6,0.9,0.6,92,86.2,$0.0M,52.9,0.36,28.4
E. Bledsoe, MIL, G ,18.7,0.69,61,27,14.9,4.6,5.4,0.4,0.9,94,81.8,$16.9M,59.6,0.31,30
T. Rozier, CHA, G ,18.7,0.54,63,34.4,18,4.4,4.1,0.2,1,75.3,115.5,$18.9M,68.4,0.27,25.8
L. Ball, NOR, G ,18.7,0.58,63,32.1,11.8,6.1,7,0.6,1.4,89.3,78.5,$11.0M,69.8,0.27,22.1
D. Jordan, BKL, C ,18.6,0.84,56,22,8.3,10,1.9,0.9,0.3,89.3,88,$10.4M,46.7,0.4,31.4
B. Hield, SAC, GF ,18.6,0.6,72,30.8,19.2,4.6,3,0.2,0.9,89.3,81.4,$24.7M,63.3,0.29,27
W. Carter Jr., CHI, C ,18.6,0.64,43,29.2,11.3,9.4,1.2,0.8,0.8,86.7,97.5,$5.4M,60.8,0.31,20.7
D. Rose, DET, G ,18.5,0.71,50,26,18.1,2.4,5.6,0.3,0.8,93.3,74.4,$7.7M,53.4,0.35,31.2
D. Schroder, OKL, G ,18.4,0.6,65,30.8,18.9,3.6,4,0.2,0.7,90.7,84.2,$16.0M,63.2,0.29,26.3
J. Isaac, ORL, F ,18.4,0.64,34,28.8,11.9,6.8,1.4,2.3,1.6,54.7,112.7,$7.4M,59.1,0.31,22.2
C. Sexton, CLE, G ,18.3,0.55,65,33,20.8,3.1,3,0.1,1,86,88.2,$5.0M,67.8,0.27,21
B. Bogdanovic, UTA, F ,18.1,0.55,63,33.1,20.2,4.1,2.1,0.1,0.5,74,103.6,$17.9M,68,0.27,30.7
J. Jackson Jr., MEM, FC ,18.1,0.63,57,28.5,17.4,4.6,1.4,1.6,0.7,92.7,74.5,$7.3M,61.2,0.3,20.3
L. Williams, LAC, G ,18,0.63,65,28.7,18.2,3.1,5.6,0.2,0.7,94.7,84.4,$8.0M,60.9,0.29,33.2
C. LeVert, BKL, GF ,17.9,0.61,45,29.6,18.7,4.2,4.4,0.2,1.2,94,77.8,$16.2M,62.9,0.28,25.3
M. Robinson, NYK, C ,17.9,0.77,61,23.2,9.7,7,0.6,2,0.9,90.7,70.7,$1.7M,47.6,0.38,21.7
E. Fournier, ORL, GF ,17.5,0.56,66,31.4,18.5,2.6,3.2,0.2,1.1,71.3,114.9,$17.2M,64.4,0.27,27.1
N. Bjelica, SAC, F ,17.4,0.62,72,27.9,11.5,6.4,2.8,0.6,0.9,74,128.2,$7.2M,57.6,0.3,31.6
R. Covington, MIN, FC ,17.3,0.57,70,30.5,12.4,6.6,1.3,1.3,1.6,78,99.7,$12.1M,65.5,0.26,29
L. Kennard, DET, GF ,17.2,0.52,28,32.9,15.8,3.5,4.1,0.2,0.4,58,146.4,$5.3M,67.8,0.25,23.5
B. Clarke, MEM, F ,17.2,0.77,58,22.4,12.1,5.9,1.4,0.8,0.6,94.7,73.5,$2.6M,48.3,0.36,23.3
D. Bertans, WAS, F ,17.1,0.58,54,29.3,15.4,4.5,1.7,0.6,0.7,70.7,121.1,$0.0M,63.1,0.27,27.1
M. Turner, IND, C ,17.1,0.58,62,29.4,12.1,6.6,1.2,2.1,0.7,82.7,95.3,$18.0M,60.7,0.28,23.7
L. Nance Jr., CLE, FC ,17.1,0.65,56,26.3,10.1,7.3,2.2,0.4,1,86,96.5,$11.7M,54.2,0.32,27
M. Bagley III, SAC, C ,17.1,0.67,13,25.7,14.2,7.5,0.8,0.9,0.5,91.3,85.6,$9.0M,52.2,0.33,20.8
C. Wood, DET, FC ,17,0.8,62,21.4,13.1,6.3,1,0.9,0.5,96.7,53.3,$13.0M,43.3,0.39,24.2
G. Dragic, MIA, G ,16.9,0.6,59,28.2,16.2,3.2,5.1,0.2,0.7,80,99.2,$0.0M,57.9,0.29,33.6
J. Parker, ATL, F ,16.9,0.7,38,24.2,14,5.6,1.8,0.4,1.2,90.7,115.8,$6.5M,52,0.33,24.8
M. Morris, NYK, F ,16.8,0.54,63,31.2,16.6,5,1.4,0.5,0.8,60.7,137.1,$14.9M,64.1,0.26,30.3
E. Payton, NYK, G ,16.8,0.61,45,27.7,10,4.7,7.2,0.4,1.6,82.7,102.9,$8.0M,57.2,0.29,25.8
N. Powell, TOR, G ,16.8,0.59,52,28.4,16,3.7,1.8,0.4,1.2,72,127.5,$10.9M,60.2,0.28,26.6
L. Markkanen, CHI, FC ,16.8,0.56,50,29.8,14.7,6.3,1.5,0.5,0.8,92,77.5,$6.7M,62.2,0.27,22.6
C. Anthony, POR, F ,16.7,0.51,58,32.8,15.4,6.3,1.5,0.5,0.8,78,110.1,$0.0M,68.5,0.24,35.6
D. Murray, SAS, G ,16.7,0.65,66,25.6,10.9,5.8,4.1,0.3,1.7,92.7,79.1,$14.3M,53.7,0.31,23.3
A. Burks, GSW, GF ,16.6,0.62,66,26.6,15,4.3,2.9,0.3,0.9,73.3,130.4,$0.0M,55.1,0.3,28.4
D. Green, GSW, F ,16.5,0.58,43,28.4,8,6.2,6.2,0.8,1.4,90,83.9,$22.2M,59.7,0.28,29.8
M. Smart, BOS, G ,16.5,0.51,60,32,12.9,3.8,4.9,0.5,1.7,72.7,112.3,$13.4M,66.5,0.25,25.8
D. Theis, BOS, C ,16.4,0.68,65,24.1,9.2,6.6,1.7,1.3,0.6,72.7,110.5,$5.0M,50.1,0.33,27.7
R. Hachimura, WAS, F ,16.4,0.54,48,30.1,13.5,6.1,1.8,0.2,0.8,86.7,102,$4.7M,64.8,0.25,21.9
H. Barnes, SAC, F ,16.2,0.47,72,34.5,14.5,4.9,2.2,0.2,0.6,64.7,138.1,$22.2M,71,0.23,27.6
C. Zeller, CHA, C ,16,0.69,58,23.1,11.1,7.1,1.5,0.4,0.7,72,131.3,$15.4M,46.4,0.35,27.2
B. Bogdanovic, SAC, GF ,16,0.55,61,28.9,15.1,3.4,3.4,0.2,1,88,87.4,$18.0M,59.6,0.27,27.3
B. Lopez, MIL, C ,15.7,0.59,68,26.7,12,4.6,1.5,2.4,0.7,72,115.1,$12.7M,58.8,0.27,31.7
J. Harris, BKL, F ,15.7,0.51,69,30.8,14.5,4.3,2.1,0.2,0.6,60,149,$16.1M,65,0.24,28.3
I. Zubac, LAC, C ,15.6,0.84,72,18.4,8.3,7.5,1.1,0.9,0.2,87.3,98.8,$7.0M,39,0.4,22.8
P. Millsap, DEN, F ,15.5,0.64,51,24.3,11.6,5.7,1.6,0.6,0.9,71.3,126.4,$10.0M,49.3,0.31,34.9
J. Crowder, MEM, F ,15.3,0.53,65,28.8,10.5,5.9,2.5,0.4,1.1,62.7,144.7,$0.0M,61.5,0.25,29.5
M. Chriss, GSW, C ,15.3,0.75,59,20.3,9.3,6.2,1.9,1.1,0.7,77.3,125.1,$1.8M,42.3,0.36,22.5
D. Lee, GSW, G ,15.3,0.53,49,29,12.7,4.9,2.7,0.1,1,35.3,189.3,$1.8M,60.9,0.25,27.2
M. Conley, UTA, G ,15.2,0.52,47,29,14.4,3.2,4.4,0.1,0.8,68.7,123.6,$34.5M,60.1,0.25,32.2
E. Paschall, GSW, F ,15.2,0.55,60,27.6,14,4.6,2.1,0.2,0.5,65.3,145.6,$1.5M,57.6,0.26,23.1
T. Hardaway Jr., DAL, GF ,15.1,0.51,71,29.5,15.8,3.3,1.9,0.1,0.6,58.7,147.3,$19.0M,61.3,0.25,27.8
O. Anunoby, TOR, F ,15.1,0.5,69,29.9,10.6,5.3,1.6,0.7,1.4,78,116.2,$3.9M,62.9,0.24,22.4
K. Huerter, ATL, GF ,15.1,0.48,56,31.4,12.2,4.1,3.8,0.5,0.9,60,157.4,$2.8M,67.6,0.22,21.3
D. Saric, PHO, F ,15,0.61,66,24.7,10.7,6.2,1.9,0.2,0.6,66,137,$0.0M,52.5,0.28,25.7
M. Bridges, CHA, F ,15,0.49,65,30.7,13,5.6,1.8,0.7,0.6,66.7,139.2,$3.9M,61.4,0.24,21.8
P. Washington, CHA, F ,15,0.5,58,30.3,12.2,5.4,2.1,0.8,0.9,72,126.7,$4.0M,60.5,0.25,21.3
J. Lamb, IND, G ,14.9,0.53,46,28.1,12.5,4.3,2.1,0.5,1.2,42,176.2,$10.5M,57.8,0.26,27.6
D. Powell, DAL, C ,14.9,0.56,40,26.5,9.4,5.7,1.5,0.6,0.9,59.3,144.5,$11.1M,54.3,0.27,28.4
T. Satoransky, CHI, G ,14.9,0.52,65,28.9,9.9,3.9,5.4,0.1,1.2,52,163.9,$10.0M,59.8,0.25,28.1
M. Fultz, ORL, G ,14.9,0.54,72,27.7,12.1,3.3,5.1,0.2,1.3,82.7,106.2,$12.3M,57,0.26,21.6
J. Hart, NOR, F ,14.8,0.55,65,27,10.1,6.5,1.7,0.4,1,46,156.6,$3.5M,58.7,0.25,24.8
A. Baynes, PHO, C ,14.7,0.66,42,22.2,11.5,5.6,1.6,0.5,0.2,70.7,115.5,$0.0M,47.4,0.31,33
J. Winslow, MIA, F ,14.7,0.46,11,32,11.3,6.6,4,0.5,0.6,48.7,170.9,$13.0M,68.3,0.22,23.7
K. Nunn, MIA, G ,14.7,0.5,67,29.3,15.3,2.7,3.3,0.2,0.8,72.7,138.8,$1.7M,60,0.25,24.4
M. Gasol, TOR, C ,14.6,0.55,44,26.4,7.5,6.3,3.3,0.9,0.8,76.7,116.1,$2.6M,56,0.26,34.9
E. Kanter, BOS, C ,14.6,0.86,58,17,8.1,7.4,1,0.7,0.4,86,112.3,$5.0M,35.2,0.42,27.6
J. Ingles, UTA, GF ,14.6,0.49,72,29.7,9.8,3.9,5.2,0.2,0.9,55.3,147.9,$10.9M,61.1,0.24,32.2
D. White, SAS, G ,14.6,0.59,68,24.7,11.3,3.3,3.5,0.9,0.6,80,117,$3.5M,51.9,0.28,25.5
T. Brown Jr., WAS, GF ,14.6,0.57,69,25.8,10.4,5.6,2.6,0.1,1.2,65.3,142.5,$3.4M,55.2,0.26,20.4
J. Redick, NOR, G ,14.5,0.55,60,26.3,15.3,2.5,2,0.2,0.3,44.7,175,$13.0M,57.1,0.25,35.5
I. Smith, WAS, G ,14.3,0.55,68,26.3,10.9,3.2,4.9,0.4,0.9,38,180.3,$6.0M,56.5,0.25,31.5
C. Payne, PHO, G ,14.3,0.62,8,22.9,10.9,3.9,3,0.3,1,27.3,187.3,$2.0M,48.5,0.29,25.4
D. Robinson, MIA, GF ,14.3,0.48,73,29.7,13.5,3.2,1.4,0.3,0.5,63.3,131.1,$1.7M,60.8,0.23,25.7
B. Griffin, DET, F ,14.2,0.5,18,28.5,15.5,4.7,3.3,0.4,0.4,89.3,74.4,$36.8M,58.2,0.24,30.8
G. Robinson III, GSW, GF ,14.2,0.49,62,28.8,11.7,4.4,1.5,0.3,0.9,42.7,181.7,$0.0M,59.9,0.24,26
D. Finney-Smith, DAL, F ,14.2,0.47,71,29.9,9.5,5.7,1.6,0.5,0.6,30.7,188.3,$4.0M,61.9,0.23,26.6
D. Brooks, MEM, GF ,14.2,0.49,73,28.9,16.2,3.3,2.1,0.4,0.9,69.3,133.8,$11.4M,62,0.23,23.9
P. Beverley, LAC, G ,14.1,0.54,51,26.3,7.9,5.2,3.6,0.5,1.1,40,182,$13.3M,56,0.25,31.4
J. Richardson, PHI, G ,14.1,0.46,55,30.8,13.7,3.2,2.9,0.7,0.9,59.3,148.1,$10.9M,63.7,0.22,26.3
D. Howard, LAL, C ,14,0.74,69,18.9,7.5,7.3,0.7,1.1,0.4,76.7,132.4,$0.0M,40.1,0.35,34
J. Clarkson, CLE, G ,14,0.58,71,24,15.2,2.6,1.9,0.2,0.6,64.7,134.4,$0.0M,49.2,0.29,27.5
R. Gay, SAS, F ,13.9,0.64,67,21.8,10.8,5.4,1.7,0.5,0.5,70,137.8,$14.5M,46.1,0.3,33.4
T. Herro, MIA, G ,13.9,0.51,55,27.4,13.5,4.1,2.2,0.2,0.6,88.7,89.7,$3.8M,56.4,0.25,19.9
T. Ross, ORL, GF ,13.8,0.51,69,27.4,14.7,3.2,1.2,0.3,1.1,52,155.2,$13.5M,56.2,0.25,28.9
B. Brown Jr., DET, G ,13.8,0.49,58,28.2,8.9,4.7,4,0.5,1.1,24.7,208.5,$1.7M,57.2,0.24,23.3
T. Prince, BKL, F ,13.7,0.47,64,29,12.1,6,1.8,0.4,0.9,31.3,197.7,$12.6M,61.3,0.22,25.3
J. Teague, MIN, G ,13.6,0.55,59,24.8,10.9,2.4,5.2,0.3,0.7,61.3,142.2,$1.6M,53.1,0.26,31.5
V. Oladipo, IND, GF ,13.6,0.49,19,27.8,14.5,3.9,2.9,0.2,0.9,92,75.8,$21.0M,58.1,0.23,27.6
W. Cauley-Stein, GSW, C ,13.6,0.67,54,20.3,7.2,5.8,1.3,1.1,0.9,63.3,150.6,$4.1M,42.4,0.32,26.3
M. Kleber, DAL, FC ,13.6,0.53,74,25.5,9.1,5.2,1.2,1.1,0.3,48.7,151.3,$8.3M,52.9,0.26,27.9
P. Tucker, HOU, FC ,13.4,0.39,72,34.3,6.9,6.6,1.6,0.5,1.1,35.3,168.4,$8.0M,74,0.18,34.6
N. Noel, OKL, C ,13.4,0.72,61,18.5,7.4,4.9,0.9,1.5,1,68,141.6,$0.0M,38,0.35,25.7
M. Bridges, PHO, F ,13.4,0.48,73,28,9.1,4,1.8,0.6,1.4,60,152.1,$4.4M,59.1,0.23,23.3
D. DiVincenzo, MIL, G ,13.4,0.58,66,23,9.2,4.8,2.3,0.3,1.3,70,144.8,$3.0M,50.5,0.26,22.9
